trial_number,stim_type,tone,intensity,ITI,prob_hightone_sad,block_length,expectation,gender,ID,stim_paths,response_duration,block_num
38,sad,low,high,1.5,0.1,30,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.8,2
39,angry,high,high,0.5,0.1,30,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.8,2
40,sad,low,low,1.5,0.1,30,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.8,2
41,sad,low,low,1,0.1,30,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,0.8,2
42,angry,high,high,0.5,0.1,30,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,2
43,sad,high,high,1.5,0.1,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,2
44,angry,high,low,1,0.1,30,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.8,2
45,sad,high,low,1.5,0.1,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,2
46,sad,low,high,0.5,0.1,30,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.8,2
47,angry,high,low,0.5,0.1,30,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,2
48,sad,low,high,1,0.1,30,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.8,2
49,angry,high,low,0.5,0.1,30,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,2
50,sad,low,low,0.5,0.1,30,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,2
51,angry,high,low,1.5,0.1,30,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,2
52,sad,low,low,1,0.1,30,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,2
53,sad,low,high,0.5,0.1,30,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.8,2
54,angry,high,low,1,0.1,30,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.8,2
55,sad,low,high,1.5,0.1,30,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.8,2
56,sad,low,low,1,0.1,30,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,0.8,2
57,angry,low,low,1.5,0.1,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.8,2
58,sad,low,high,0.5,0.1,30,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,2
59,angry,high,high,0.5,0.1,30,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,2
60,sad,low,low,1,0.1,30,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,2
61,angry,low,high,0.5,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.8,3
62,sad,high,low,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,3
63,angry,low,low,1,0.9,30,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,3
64,angry,low,high,0.5,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.8,3
65,sad,high,low,1,0.9,30,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.8,3
66,angry,low,high,1.5,0.9,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.8,3
67,sad,high,low,1,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,0.8,3
68,sad,high,high,0.5,0.9,30,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.8,3
69,angry,low,low,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.8,3
70,sad,high,low,0.5,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,3
71,sad,high,high,1,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,3
72,angry,high,high,0.5,0.9,30,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.8,3
73,sad,high,high,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.8,3
74,angry,low,low,1,0.9,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.8,3
75,angry,low,high,0.5,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.8,3
76,sad,low,low,1,0.9,30,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.8,3
77,angry,low,high,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,3
78,sad,high,low,1.5,0.9,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,3
79,angry,low,low,1,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.8,3
80,sad,high,high,0.5,0.9,30,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,3
81,angry,low,low,1,0.9,30,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,3
82,angry,high,high,1.5,0.9,30,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.8,3
83,sad,high,high,1.5,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,3
84,angry,low,low,0.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.8,3
85,angry,low,high,1.5,0.9,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.8,3
86,angry,low,low,1,0.9,30,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,3
87,sad,high,low,0.5,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,3
88,angry,low,high,1.5,0.9,30,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,3
89,sad,high,low,1,0.9,30,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,3
90,sad,high,high,1.5,0.9,30,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.8,3
91,sad,high,low,1,0.4,10,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,4
92,sad,low,high,1.5,0.4,10,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.8,4
93,angry,high,low,1,0.4,10,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.8,4
94,sad,high,high,1.5,0.4,10,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,4
95,angry,high,low,1,0.4,10,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.8,4
96,sad,low,high,1.5,0.4,10,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.8,4
97,angry,low,high,1,0.4,10,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.8,4
98,angry,high,high,0.5,0.4,10,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.8,4
99,angry,low,low,1.5,0.4,10,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.8,4
100,sad,low,low,0.5,0.4,10,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.8,4
101,sad,high,low,0.5,0.8,50,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,5
102,angry,low,high,1.5,0.8,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.8,5
103,sad,high,low,1.5,0.8,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.8,5
104,sad,high,high,0.5,0.8,50,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.8,5
105,angry,low,high,1.5,0.8,50,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.8,5
106,sad,high,low,1,0.8,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.8,5
107,angry,low,low,1.5,0.8,50,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.8,5
108,sad,high,low,0.5,0.8,50,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.8,5
109,angry,low,high,1,0.8,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.8,5
110,angry,low,low,1,0.8,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.8,5
111,sad,high,low,1.5,0.8,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.8,5
112,angry,high,high,1,0.8,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.8,5
113,sad,high,high,0.5,0.8,50,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,5
114,angry,low,low,1.5,0.8,50,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.8,5
115,sad,low,low,1,0.8,50,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,5
116,sad,high,high,0.5,0.8,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,5
117,angry,low,low,1,0.8,50,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.8,5
118,sad,low,high,0.5,0.8,50,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.8,5
119,angry,low,low,1,0.8,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.8,5
120,sad,high,high,1.5,0.8,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.8,5
121,angry,low,low,0.5,0.8,50,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,5
122,sad,low,high,1.5,0.8,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.8,5
123,angry,high,low,1,0.8,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.8,5
124,angry,low,high,0.5,0.8,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,5
125,sad,high,high,1,0.8,50,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,5
126,angry,low,low,1.5,0.8,50,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.8,5
127,sad,high,high,0.5,0.8,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,5
128,sad,high,low,1.5,0.8,50,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,5
129,angry,low,low,0.5,0.8,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,5
130,angry,high,high,1.5,0.8,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,5
131,angry,low,low,1,0.8,50,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,5
132,sad,high,high,1.5,0.8,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.8,5
133,sad,high,low,1.5,0.8,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.8,5
134,angry,low,high,1,0.8,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.8,5
135,sad,high,low,0.5,0.8,50,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,5
136,angry,low,high,1.5,0.8,50,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.8,5
137,sad,low,low,0.5,0.8,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,0.8,5
138,angry,low,high,1,0.8,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,5
139,sad,high,high,0.5,0.8,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,5
140,sad,high,high,1.5,0.8,50,1,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.8,5
141,angry,high,low,0.5,0.8,50,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.8,5
142,angry,low,low,1,0.8,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,5
143,angry,low,high,0.5,0.8,50,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,5
144,sad,high,low,1,0.8,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,5
145,angry,high,low,0.5,0.8,50,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.8,5
146,angry,low,low,1.5,0.8,50,1,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,5
147,sad,high,high,1,0.8,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.8,5
148,sad,high,low,1.5,0.8,50,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,5
149,sad,low,high,1,0.8,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.8,5
150,sad,high,low,1.5,0.8,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.8,5
151,angry,high,high,0.5,0.2,50,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.8,6
152,sad,low,low,1,0.2,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,6
153,angry,high,high,0.5,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.8,6
154,sad,low,high,1.5,0.2,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.8,6
155,angry,high,low,1,0.2,50,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,6
156,sad,low,high,1.5,0.2,50,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,6
157,angry,high,low,0.5,0.2,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_075_.jpg,0.8,6
158,angry,high,high,0.5,0.2,50,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,6
159,sad,low,high,1,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,6
160,angry,high,high,0.5,0.2,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.8,6
161,angry,low,low,1,0.2,50,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_050_.jpg,0.8,6
162,sad,low,low,1,0.2,50,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_075_.jpg,0.8,6
163,angry,high,high,0.5,0.2,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,6
164,sad,low,high,1.5,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,6
165,sad,high,low,1.5,0.2,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.8,6
166,sad,low,low,1.5,0.2,50,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.8,6
167,angry,high,high,1.5,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.8,6
168,angry,low,low,0.5,0.2,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.8,6
169,sad,low,high,0.5,0.2,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.8,6
170,sad,low,low,1,0.2,50,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_050_.jpg,0.8,6
171,angry,low,high,1,0.2,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,6
172,angry,high,high,1.5,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_075_.jpg,0.8,6
173,sad,high,low,0.5,0.2,50,1,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,6
174,sad,low,high,1,0.2,50,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_075_.jpg,0.8,6
175,angry,high,high,0.5,0.2,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Ang_100_.jpg,0.8,6
176,angry,low,low,1.5,0.2,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.8,6
177,sad,low,high,1,0.2,50,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Sad_075_.jpg,0.8,6
178,angry,high,high,0.5,0.2,50,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_075_.jpg,0.8,6
179,sad,low,high,1,0.2,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_075_.jpg,0.8,6
180,sad,low,low,1.5,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_050_.jpg,0.8,6
181,sad,high,high,0.5,0.2,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.8,6
182,angry,high,low,1,0.2,50,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_050_.jpg,0.8,6
183,sad,low,low,0.5,0.2,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_050_.jpg,0.8,6
184,angry,high,high,1.5,0.2,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,6
185,angry,high,high,1,0.2,50,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.8,6
186,sad,high,low,1.5,0.2,50,1,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Sad_050_.jpg,0.8,6
187,angry,high,high,0.5,0.2,50,0,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,6
188,angry,high,low,1,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,6
189,sad,low,high,0.5,0.2,50,0,F,M2,/js/tasks/emotional_faces/media/faces/MC02_Sad_100_.jpg,0.8,6
190,angry,high,low,1.5,0.2,50,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_050_.jpg,0.8,6
191,sad,low,low,1,0.2,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,6
192,sad,low,high,0.5,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,6
193,angry,low,high,1,0.2,50,1,M,M9,/js/tasks/emotional_faces/media/faces/MC09_Ang_075_.jpg,0.8,6
194,angry,high,low,1.5,0.2,50,0,M,M7,/js/tasks/emotional_faces/media/faces/MC07_Ang_050_.jpg,0.8,6
195,angry,low,high,0.5,0.2,50,1,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Ang_075_.jpg,0.8,6
196,sad,low,low,1,0.2,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Sad_050_.jpg,0.8,6
197,angry,high,low,1.5,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Ang_050_.jpg,0.8,6
198,sad,low,high,1,0.2,50,0,F,M4,/js/tasks/emotional_faces/media/faces/MC04_Sad_100_.jpg,0.8,6
199,angry,high,high,0.5,0.2,50,0,M,M8,/js/tasks/emotional_faces/media/faces/MC08_Ang_075_.jpg,0.8,6
200,sad,low,high,0.5,0.2,50,0,F,M5,/js/tasks/emotional_faces/media/faces/MC05_Sad_075_.jpg,0.8,6
